sample_accession	text	tag
SAMEA11149336	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2621222 TARA SAMEA2621222 BIN 00000068 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11184315	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136936 BGEO SAMN07136936 BIN 00000029 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112524867	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 06 03T05:03:00Z, at location 44.92930 N 12.61450 E and depth (m)=0, using protocol HC G with sample pid SAMEA112524867  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN46214728	 Model organism or animal sample from Sebastes fasciatus Model organism or animal sample from Sebastes fasciatus Sebastes fasciatus   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA6000989	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20160828T1457Z OA039 I00 S00 C000 O SRF MICROB SEQ S20 R02 OA 0000499 TARA SAMPLE 20160828T1457Z OA039 I00 S00 C000 O SRF MICROB SEQ S20 R02 OA 0000499 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA4761886	mackerel exp 4 not applicable 11721.s34.2.sw seawater metagenome marine biome coastal zone sea water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN20166631	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11191971	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2621155 TARA SAMEA2621155 METAG PABHPDHH marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6004343	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20161108T1829Z OA000 I07 S03 C028 C CORAL HOLOB SEQ CS10 R01 CO 1010148 TARA SAMPLE 20161108T1829Z OA000 I07 S03 C028 C CORAL HOLOB SEQ CS10 R01 CO 1010148 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN35641519	 Model organism or animal sample from Anas platyrhynchos Model organism or animal sample from Anas platyrhynchos Anas platyrhynchos   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA11113105	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07137006 HOTS SAMN07137006 BIN 00000018 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11156505	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136946 BGEO SAMN07136946 METAG BOHHNAFF marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA6029052	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20171028T2115Z OA157 I23 S00 C000 I SRF MICROB IMG FCM R02 R 0001285 TARA SAMPLE 20171028T2115Z OA157 I23 S00 C000 I SRF MICROB IMG FCM R02 R 0001285 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN32299688	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome marine biome [ENVO 00000447] marine coral reef biome [ENVO 01000049] aquatic biome [ENVO 00002030]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11173405	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2623919 TARA SAMEA2623919 BIN 00000076 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN11024762	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11160140	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136909 BGEO SAMN07136909 METAG LKLJIFIO marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN31082432	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine metagenome marine metagenome ocean subantarctic sea water planktonic material	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112554559	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 05 19T05:43:00Z, at location 56.21142 N 10.78356 E, elevation (m)=26 and altitude (m)=26, using protocol ASM with sample pid SAMEA112554559  marine metagenome marine biome [ENVO:00000447] low atmospheric level [ENVO:03520000] aerosol [ENVO:00010505]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN39399144	 Invertebrate sample from Pandalus borealis Invertebrate sample from Pandalus borealis Pandalus borealis   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN45893066	 Continental shelf sediment collected around Eastern Antarctica. The top 3 cm of the core (0 3cm) was sectioned and then frozen. In the lab, DNA was then extraction for WGS metagenomic sequencing. replicate 1 marine sediment metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN30442838	 Keywords: GSC:MIxS MIMAG:6.0 MIMAG Metagenome assembled Genome sample from Nitrosopumilus sp. Candidatus Nitrosopumilus sp. Estuarine Biome shoreline | intertidal zone | water current Estuarine surface sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN45864555	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from marine plankton metagenome marine plankton metagenome marine biome [ENVO:00000447] marine layer [ENVO:01000295] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN23076137	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from seawater metagenome seawater metagenome coral reef surface layer water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA6009855	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170109T1907Z OA000 I13 S03 C008 C CORAL HOLOB IMG CTEM R01 CO 0001098 TARA SAMPLE 20170109T1907Z OA000 I13 S03 C008 C CORAL HOLOB IMG CTEM R01 CO 0001098 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN28605288	 Sorted cells of Pelagibacteraceae from Sargasso Sea water to study mechanisms that produce pan genome diversity in globally abundant Bacteria Sorted cell/s from marine samples in Sargasso Sea   Pelagibacteraceae bacterium JGI BSAE 1614 1.M12 seawater metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN38085758	 Keywords: GSC:MIxS MIGS:6.0 MIGS Eukaryotic sample from Foraminifera Foraminifera Coral reef coral rubble, algae, sand or seagrass sediment picked	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA11121805	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136771 BGEO SAMN07136771 BIN 00000002 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN06555178	 Metagenome or environmental sample from fish gut metagenome Metagenome or environmental sample from fish gut metagenome fish gut metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN40548971	 Keywords: GSC:MIxS MIMAG:6.0 MAG 34 Alteromonas mediterranea marine biome [ENVO:00000447] marine pelagic biome [ENVO:01000023] marine pelagic biome [ENVO:01000023]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN36652130	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA111562421	DTOL 09985dfa f025 4f56 950d 546c7814f2ad dtol 09985dfa f025 4f56 950d 546c7814f2ad dtol Doris ocelligera   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00140877	Large scale metabarcoding analysis of epipelagic and mesopelagic copepods in the Pacific Keywords: GSC:MIxS MIMARKS:6.0 Marine zooplankton community sample at 200 500 m (KH 17 4, st12) marine plankton metagenome open ocean mesopelagic water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11133694	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136961 BGEO SAMN07136961 BIN 00000016 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16095149	 Keywords: GSC:MIxS MIGS:5.0 MIGS Eukaryotic sample from Platygyra sinensis Platygyra sinensis marine coral reef biome marine reef biome coral	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN45133751	 Keywords: GSC:MIxS MIMS:6.0 16S rRNA gene amplification of seawater microbial DNA seawater metagenome Tropical marine waters shoreline seawater	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112495287	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 08 03T05:53:00Z, at location 58.31640 N 11.53860 E, elevation (m)=0 and depth (m)=0 3, using protocol S320 S with sample pid SAMEA112495287  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine;datahub:TREC;datahub
SAMN40082646	 Larvae sample of Montipora capitata offspring collected from Kaneohe Bay, Oahu, Hawaii coral reef environment from different parental bleaching phenotypes. Larvae reared in flow through laboratory tank systems exposed to temperature treatments and sampled by preservation in RNA/DNA shield. 27C NonBleachedMixed 20230627 R66 coral metagenome coral reef [ENVO:00000150] coral reef [ENVO:00000150] seawater [ENVO:00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6003504	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20161106T1854Z OA000 I07 S01 F012 S WATER FISH IMG PHOTO R01 FH 3000059 TARA SAMPLE 20161106T1854Z OA000 I07 S01 F012 S WATER FISH IMG PHOTO R01 FH 3000059 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN14914337	 Metagenome Assembled Genomes from Saanich Inlet seawaters Metagenome Assembled Genomes from Saanich Inlet seawaters Candidatus Thioglobus sp. marine biome [ENVO:00000447]  	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115760544	 This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 01 25T15:47:30Z, at location 35.7751 S 10.4636 E and depth (m)=45570, using protocol CPR with sample alias not collected This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 01 25T15:47:30Z, at location 35.7751 S 10.4636 E and depth (m)=45570, using protocol CPR with sample alias not collected marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN36678464	 Keywords: GSC:MIxS MIGS:6.0 IDO R Carcharhinus falciformis Pelagic Ocean Indian Ocean Water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN08776766	 Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico   4872 04 0 1 MG Hydrothermal vent sediment bacterial communities from Southern Trench, Guaymas Basin, Mexico   4872 04 0 1 MG hydrothermal vent metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11142411	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2622796 TARA SAMEA2622796 BIN 00000308 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN48526709	 strain represents host genets as identified in this study, samples contain both host and symbiont reads MIGS Eukaryotic sample from Exaiptasia diaphana Exaiptasia diaphana ENVO:01000181 ENVO:01000181 ENVO:01001966	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN11370740	 DNA extracted from recirculating nutrient solutions after running through a biofiltration system located at the entrance of the greenhouse ED 16S aquatic metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN41842738	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Survey related sample from estuary metagenome estuary metagenome estuarine biome water estuarine water	env_tax:marine;env_geo;env_tax:brackish;env_tax;env_geo:marine
SAMEA8809140	MARRES seawater surface microlayer MS JS marine metagenome sea coastal sea seawater	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN09477035	 not applicable BC 316 267 Fundulus heteroclitus   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA115646128	BLAX 000121 79689 tol 79689 tol Jaera ischiosetosa   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN36760314	 TA S5 TA S5 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA3461509	PRJEB9624 Pacific oyster (Crassostrea gigas) hemolymph microbiota collected on Texel, 2012 06 14 sample taken in the lab, after the treatment and before field deployment not antibiotic treated oyster from Sylt, translocated from Sylt (D) to Texel (NL) Pacific oyster hemolymph microbiota from Texel, translocated from Sylt Crassostrea gigas Magallana gigas aquatic, marine, benthic, coastal organic organic material, bodily fluid	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN09926462	 Microbe sample from Methanothermococcus okinawensis Microbe sample from Methanothermococcus okinawensis Methanothermococcus okinawensis   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41227109	 Metagenome or environmental sample from seawater metagenome Metagenome or environmental sample from seawater metagenome seawater metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN25710746	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine metagenome marine metagenome Aquatic Water Column Marine Water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN13324678	 Microbe sample from Synechococcus sp. A15 62 Microbe sample from Synechococcus sp. A15 62 Synechococcus sp. A15 62 ENVO:00000207  	env_tax:marine;env_geo;env_tax:freshwater;env_tax:terrestrial;env_tax:brackish;env_tax;env_geo:marine
SAMEA8779508	eDNA metabarcoding (marker: COI) of reef and mangrove habitats in Honduras and Kenya eDNA PCR c ecol sample CN1* marine metagenome marine coral reef water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112540350	Traversing European Coastlines (TREC) expedition This Platynereis sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 05 26, at location 45.74097 N 13.66884 E and depth (m)=0 20, using protocol EPK Parents D with sample pid SAMEA112540350  Platynereis dumerilii marine biome [ENVO:00000447]  organic material [ENVO:01000155]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN53882382	 Keywords: GSC:MIxS MIMS:6.0 Sample 8 marine metagenome ocean [ENVO:00000015]|ocean biome [ENVO:01000048] temperate marginal sea biome [ENVO:01000856] sea water [ENVO:00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN49828188	 Metatranscriptome of seawater microbial communities from North Atlantic Ocean control seawater sample without any treatment Metatranscriptome of seawater microbial communities from North Atlantic Ocean   SX 164 seawater metagenome marine pelagic biome[ENVO 01000023]  sea water[ENVO 00002149]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA6031216	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20171117T0412Z OA000 I24 S02 C042 C CORAL HOLOB SEQ CDIV R01 CO 1016749 TARA SAMPLE 20171117T0412Z OA000 I24 S02 C042 C CORAL HOLOB SEQ CDIV R01 CO 1016749 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00049054	MiFish metabarcoding of Maizuru47 water collected on 18th June 2014 Keywords: GSC:MIxS MIMS:6.0 Maizuru47 bottom rep2 31 seawater metagenome sea bay water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112489288	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 05 25T12:35:00Z, at location 55.35260 N 11.18327 E, elevation (m)=0 and depth (m)=0, using protocol MB20 with sample pid SAMEA112489288  marine metagenome shore [ENVO:00000304] shoreline transect seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN38250831	   Amphiprion clarkii   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA40467418	 genomic DNA 10793.16.1182119 sponge metagenome ocean biome reef organic material feature	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA11145972	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2620339 TARA SAMEA2620339 BIN 00000020 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN43483261	 Keywords: GSC:MIxS MIMS:6.0 102.100.100/403486 marine metagenome 7 Other 7.1.2 Coastal water production Sea water [ENVO 00002149]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA3313092	 Water sample taken on 2004 01 27T19:11:00+00:00 from site GS024 (lat:5.583333333, long: 87.05), viral fraction. Samples were collected by filtering water pumped through a 20µm prefilter, then size fractionating by serial filtration through 3µm, 0.8µm, and 0.1µm membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Costa Rica, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Costa Rica as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes. GS024 viralµm marine metagenome ocean biome coastal ocean 	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00637433	 Fish Mar2E09 seawater metagenome missing missing missing	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112585855	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 05 28T09:34:00Z, at location 42.89380 N 13.93480 E and depth (m)=0, using protocol F200 with sample pid SAMEA112585855  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN34127644	 5BAK POC550 Aug 2019 MIMARKS Survey related sample from coral metagenome coral metagenome Marine Coral Biome Backreef Tropcal Marine	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN45026458	 Keywords: GSC:MIxS MIMARKS:6.0 MIMARKS Specimen sample from Vibrio Vibrio Mangrove biome Shoreline estuarine mud	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_geo:coastal;env_tax;env_geo:marine
SAMN38357902	 Keywords: GSC:MIxS MIMARKS:6.0 ft7105 bottom 4 seawater metagenome marine Coastal seawater	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA8514649	DSMP Metabarcodes from the global deepsea with focus on the Clarion Clipperton Fracture Zone V1V2.RNA.329.A marine sediment metagenome marine abyssal zone biome marine oligotrophic desert mud	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA115963303	HE627 Illumina MiSeq 18S amplicon sequences arctic fjord water St2 P2 S78 marine metagenome marine biome [ENVO:00000447] | polar biome [ENVO:01000339] microbial feature [ENVO:01000007] | marine photic zone [ENVO:00000209] coastal sea water [ENVO:00002150]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN32622091	 Keywords: GSC:MIxS MIGS:6.0 MIGS Eukaryotic sample from Acanthurus triostegus Acanthurus triostegus coral reef coral reef coral reef	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN24604025	 56Sep.15 56Sep.15 coral metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA11131419	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA4397034 TARA SAMEA4397034 METAG POGHGGLO marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA112561220	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2024 07 06T04:45:00Z, at location 37.79860 N 23.82030 E, elevation (m)=0 and depth (m)=0 3, using protocol RBM3 with sample pid SAMEA112561220  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN29815724	 Metagenome or environmental sample from coral metagenome Metagenome or environmental sample from coral metagenome coral metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN17924027	 Invertebrate sample from Acropora millepora Invertebrate sample from Acropora millepora Acropora millepora   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA3707151	San Pedro Ocean Time series Fuhrmanlab surface sewater intergenic spacer amplicon of SAR11 from 0.22 1 micron size fraction cits.cat.8.11.2010.SAR11ITS.point22.SAR11F2.SAR11R11.na.82.na.fastq seawater metagenome 15 1000005 2225	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA8100451	Fucus transplant cg18pb t5 1 cg18pb t5 1 Fucus distichus marine benthic biome marine benthic feature algal material	env_tax:marine;env_geo;env_tax;env_geo:freshwater;env_geo:marine
SAMN18252691	 Keywords: GSC:MIxS MIMARKS:5.0 Pescadero basin sediment core hydrothermal vent metagenome hydrothermal vent field marine hydrothermal vent Marine sediment	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA110449747	DTOL 7f15cff6 c2dd 481f a231 8719f9bef3ff DTOL specimen 7f15cff6 c2dd 481f a231 8719f9bef3ff DTOL specimen Disporella hispida   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA112493749	Traversing European Coastlines (TREC) expedition This marine metagenome sample was collected during the Traversing European Coastlines (TREC) expedition on date/time 2023 05 04T12:00:00Z, at location 53.75260 N 7.66780 E, elevation (m)=0 and depth (m)=0 3, using protocol S<02 with sample pid SAMEA112493749  marine metagenome marine biome [ENVO:00000447] surface water [ENVO:00002042] seawater [ENVO:01001964]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN14594298	 Keywords: GSC:MIxS MIMARKS:5.0 1st 35 1 seawater metagenome coastal seawater9 seawater water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA117761273	DTOL 3520d2e0 98ae 4e46 82de 8be0737c258a dtol 3520d2e0 98ae 4e46 82de 8be0737c258a dtol Hemigrapsus sanguineus   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA114403689	18S Community Profiles Fram Strait Submesoscale Filament 2017 18S meta barcoding Submesoscale Filament Fram Strait 2017 Stn12.100 marine metagenome water column [ENVO:06105011] microbial community [PCO:1000004] particulate organic matter [ENVO:04000012]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA13503146	Metagenome sequencing of Hadza gut microbiome This sample represents an uncultured Brachyspira sp. MAG assembled and binned from ERR7745896. ERR7745896 bin.64 uncultured Brachyspira sp. terrestrial biome human associated habitat feces	pathogen:bacterium;env_tax:marine;env_geo;pathogen;env_tax;env_geo:marine
SAMEA6012966	Tara Pacific Expedition (2016 2018) TARA SAMPLE 20170130T0545Z OA000 I15 S03 C041 C CORAL HOLOB SEQ CDIV R01 CO 0001841 TARA SAMPLE 20170130T0545Z OA000 I15 S03 C041 C CORAL HOLOB SEQ CDIV R01 CO 0001841 marine metagenome   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN16497700	 NAFO: 4X Model organism or animal sample from Gadus morhua Gadus morhua   	env_tax:marine;env_geo;env_geo:coastal;env_tax:brackish;env_tax;env_geo:marine
SAMN07836190	 Keywords: GSC:MIxS MIMARKS:5.0 MIMARKS Survey related sample from marine sediment metagenome marine sediment metagenome Marine sediment Sea floor Sediment	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115762903	 This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 09T20:45:30Z, at location 24.9114 S 43.9368 W and depth (m)=45570, using protocol CPR with sample alias not collected This marine metagenome sample was collected during campaign CPR Brazil South Africa line on date/time 2022 07 09T20:45:30Z, at location 24.9114 S 43.9368 W and depth (m)=45570, using protocol CPR with sample alias not collected marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN31016264	 marine sediment metagenome marine sediment metagenome marine sediment metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN10187456	 Keywords: GSC:MIxS MIMS:5.0 MIMS Environmental/Metagenome sample from coral reef metagenome coral reef metagenome coral reef benthos water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA115336594	Low abundant but highly active Nitrosomonas sp. in coastal sediments VASIREMI Station Ridge 2   AOA DNA Total Microbial Community V B2 marine sediment metagenome marine biomeb [ENVO 00000447] estuarine biome [ENVO 01000020] mud [ENVO 01000001]	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11117295	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2619952 TARA SAMEA2619952 METAG JEDDHEBD marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN44700459	 Taeniamia zosterophora Taeniamia zosterophora Taeniamia zosterophora   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN16830474	 Metagenome or environmental sample from fish gut metagenome Metagenome or environmental sample from fish gut metagenome fish gut metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMEA11128837	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMN07136518 BGEO SAMN07136518 METAG KMJHNNNL marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN41277476	 Metagenome or environmental sample from marine metagenome Metagenome or environmental sample from marine metagenome marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMEA11182640	Biosynthetic potential of the global ocean microbiome metagenomic bin from biosample SAMEA2591074 TARA SAMEA2591074 BIN 00000001 marine metagenome Ocean water Ocean water Ocean water	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN54145517	 2023SAB 34 2023SAB 34 marine metagenome   	env_tax:marine;env_geo;env_geo:coastal;env_tax;env_geo:marine
SAMN26198132	 Zebrasoma veliferum Zebrasoma veliferum Zebrasoma velifer   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMD00404446	Metabarcoding analysis of Symbiodiniaceae communities in corals and surrounding seawater in Japan Keywords: GSC:MIxS MIMARKS:6.0 2013 Acropora hyacinthus 3mon juvenile Okinawa Okinawa 3 4 marine metagenome marine biome cnidarian associated environment coral reef	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN30493334	 Meron034 61C2 S128 Meron034 61C2 S128 fish metagenome   	env_tax:marine;env_geo;env_tax:freshwater;env_tax:brackish;env_tax;env_geo:marine
SAMN21877839	 Invertebrate sample from Paramuricea biscaya Invertebrate sample from Paramuricea biscaya Paramuricea biscaya   	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMEA121958486	18S meta barcoding MOSAiC ice 18S sequences from different depths of sea ice PS122 3 39 7 ice top 20 30cm marine metagenome marine biome [ENVO:00000447] microbial community [PCO:1000004] water ice core [ENVO:01001530]	env_tax:marine;env_geo;env_tax;env_geo:marine
SAMN10590168	 Station 54, Niskin bottle 1 54 1 marine metagenome marine seawater water	env_tax:marine;env_geo;env_tax;env_geo:marine
